,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,49,0,0,279.0,864,8,1,543,1,2.0,3,781,61.0,2,2,264,2,614,5130.0,24907,1,1320,939,23,4,4,80,1,10,3,3,10,7,1,7
3,33,0,0,1392.0,864,3,4,543,1,5.0,4,539,56.0,3,1,264,3,614,2909.0,23159,1,1320,381,11,3,3,80,0,8,3,3,8,7,3,0
5,32,0,0,1005.0,864,2,2,543,1,8.0,4,781,79.0,3,1,231,4,423,3068.0,11864,0,1320,939,13,3,3,80,0,8,2,2,7,7,3,6
8,38,0,0,216.0,864,23,3,543,1,12.0,4,781,44.0,2,3,132,3,423,9526.0,8787,0,1320,939,21,4,2,80,0,10,2,3,9,7,1,8
26,32,1,0,1125.0,864,16,1,543,1,33.0,2,539,72.0,1,1,264,1,423,3919.0,4681,1,1320,381,22,4,2,80,0,10,5,3,10,2,6,7
39,33,0,0,1141.0,399,1,3,543,1,52.0,3,539,42.0,4,2,287,1,614,5376.0,3193,2,1320,939,19,3,1,80,2,10,3,3,5,3,1,3
43,27,0,0,994.0,399,8,3,543,1,56.0,4,781,37.0,3,3,287,3,423,8726.0,2975,1,1320,939,15,3,4,80,0,9,0,3,9,8,1,7
44,30,0,0,721.0,864,1,2,414,1,57.0,3,539,58.0,3,2,231,4,423,4011.0,10781,1,1320,939,23,4,4,80,0,12,2,3,12,8,3,7
48,46,0,0,1211.0,399,5,4,147,1,62.0,1,781,98.0,3,2,287,4,423,5772.0,20445,4,1320,381,21,4,3,80,0,14,4,3,9,6,0,8
55,33,0,0,515.0,864,1,2,543,1,73.0,1,539,98.0,3,3,74,4,423,13458.0,15146,1,1320,381,12,3,3,80,0,15,1,3,15,14,8,12
56,35,0,0,853.0,399,18,5,543,1,74.0,2,781,71.0,3,3,287,1,614,9069.0,11031,1,1320,939,22,4,4,80,1,9,3,2,9,8,1,8
61,38,0,0,653.0,864,29,5,543,1,79.0,4,539,50.0,3,2,231,4,423,2406.0,5456,1,1320,939,11,3,4,80,0,10,2,3,10,3,9,9
66,36,0,0,1195.0,864,11,3,543,1,85.0,2,781,95.0,2,2,132,2,423,6499.0,22656,1,1320,939,13,3,3,80,0,6,3,3,6,5,0,3
68,35,0,0,664.0,864,1,3,414,1,88.0,2,781,79.0,3,1,264,1,614,2194.0,5868,4,1320,939,13,3,4,80,1,5,2,2,3,2,1,2
70,59,0,0,1225.0,399,1,1,543,1,91.0,1,539,57.0,2,2,287,3,423,5473.0,24668,7,1320,939,11,3,4,80,0,20,2,2,4,3,1,3
90,40,0,0,530.0,864,1,4,543,1,119.0,3,781,78.0,2,4,116,2,614,13503.0,14115,1,1320,939,22,4,4,80,1,22,3,2,22,3,11,11
93,46,0,0,638.0,864,1,3,414,1,124.0,3,781,40.0,2,3,116,1,614,10673.0,3142,2,1320,381,13,3,3,80,1,21,5,2,10,9,9,5
102,20,1,0,871.0,864,6,3,543,1,137.0,4,539,66.0,2,1,231,4,423,2926.0,19783,1,1320,381,18,3,2,80,0,1,5,3,1,0,1,0
106,50,0,0,1115.0,864,1,3,543,1,141.0,1,539,73.0,3,5,74,2,614,18034.8125,9755,3,1320,381,19,3,1,80,0,28,1,2,8,3,0,7
110,51,0,0,1456.0,864,1,4,414,1,145.0,1,539,30.0,2,3,116,1,423,7484.0,25796,3,1320,939,20,4,3,80,0,23,1,2,13,12,12,8
111,34,1,0,658.0,864,7,3,543,1,147.0,1,781,66.0,1,2,231,3,423,6074.0,22887,1,1320,381,24,4,4,80,0,9,3,3,9,7,0,6
117,36,0,0,1467.0,399,11,2,118,1,154.0,2,539,92.0,3,3,287,4,614,9738.0,22952,0,1320,939,14,3,3,80,1,10,6,3,9,7,2,8
119,43,0,0,394.0,399,26,2,543,1,158.0,3,781,92.0,3,4,90,4,614,16959.0,19494,1,1320,381,12,3,4,80,2,25,3,4,25,12,4,12
120,30,0,0,1312.0,864,23,3,543,1,159.0,1,781,96.0,1,1,264,3,283,2613.0,22310,1,1320,939,25,4,3,80,3,10,2,2,10,7,0,9
130,43,0,0,957.0,864,28,3,414,1,171.0,2,539,72.0,4,1,264,3,423,4739.0,16090,4,1320,939,12,3,4,80,0,18,2,3,3,2,1,2
131,50,0,0,809.0,399,12,3,147,1,174.0,3,539,77.0,3,3,287,4,423,9208.0,6645,4,1320,939,11,3,4,80,0,16,3,3,2,2,2,1
136,51,1,0,1150.0,864,8,4,543,1,179.0,1,781,53.0,1,3,132,4,423,10650.0,25150,2,1320,939,15,3,4,80,0,18,2,3,4,2,0,3
